src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
20.189.173.16,192.168.1.12,443,59532,TCP,54,1750067834.077549
20.189.173.16,192.168.1.12,443,59536,TCP,157,1750067834.204519
20.189.173.16,192.168.1.12,443,59536,TCP,60,1750067834.204519
20.189.173.16,192.168.1.12,443,59536,TCP,60,1750067834.204519
20.189.173.16,192.168.1.12,443,59536,TCP,66,1750067834.204519
20.189.173.16,192.168.1.12,443,59536,TCP,60,1750067834.204519
192.168.1.12,20.189.173.16,59536,443,TCP,54,1750067834.204642
20.189.173.16,192.168.1.12,443,59536,TCP,500,1750067834.206093
192.168.1.12,20.189.173.16,59536,443,TCP,54,1750067834.206156
192.168.1.12,239.255.255.250,54244,1900,UDP,179,1750067834.45633
192.168.1.12,13.107.5.93,59526,443,TCP,54,1750067834.504412
13.107.5.93,192.168.1.12,443,59526,TCP,60,1750067834.542455
13.107.5.93,192.168.1.12,443,59526,TCP,54,1750067834.542455
192.168.1.12,13.107.5.93,59526,443,TCP,54,1750067834.542586
192.168.1.12,40.104.66.130,51249,443,UDP,77,1750067834.623302
40.104.66.130,192.168.1.12,443,51249,UDP,76,1750067834.673502
192.168.1.12,224.0.0.251,5353,5353,UDP,82,1750067835.004612
192.168.1.12,224.0.0.251,5353,5353,UDP,82,1750067835.005245
192.168.1.12,20.189.173.16,59537,443,TCP,66,1750067835.525792
20.189.173.16,192.168.1.12,443,59537,TCP,66,1750067835.796374
192.168.1.12,20.189.173.16,59537,443,TCP,54,1750067835.796548
192.168.1.12,20.189.173.16,59537,443,TCP,571,1750067835.797282
192.168.1.12,224.0.0.251,5353,5353,UDP,82,1750067836.00713
192.168.1.12,224.0.0.251,5353,5353,UDP,82,1750067836.008285
20.189.173.16,192.168.1.12,443,59537,TCP,153,1750067836.094874
192.168.1.12,20.189.173.16,59537,443,TCP,491,1750067836.095901
20.189.173.16,192.168.1.12,443,59537,TCP,60,1750067836.416125
20.189.173.16,192.168.1.12,443,59537,TCP,1506,1750067836.443888
20.189.173.16,192.168.1.12,443,59537,TCP,1506,1750067836.443888
20.189.173.16,192.168.1.12,443,59537,TCP,1506,1750067836.443888
20.189.173.16,192.168.1.12,443,59537,TCP,232,1750067836.443888
192.168.1.12,20.189.173.16,59537,443,TCP,54,1750067836.444038
192.168.1.12,20.189.173.16,59537,443,TCP,1494,1750067836.445744
